amount;amountInHomeCurrency;category;conversionRate;country;countryCode;datePaid;homeCurrency;localCurrency;notes;paidBy;paidFor;Utilisateur anonyme;paymentMethod;photo;place;latitude;longitude;type;numberOfDays;excludeFromAvg;addToBudget;categoryId;categoryIcon;categoryColor;paymentMethodId;paymentMethodIcon;paymentMethodColor;paidById;paidToId;splitObjects
"20 000";"0,65";"Restaurants";"30 778,63";"France";"FR";"02/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,65";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':20000000,'shareInHomeCurrency':650,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"200 000";"6,50";"Transport";"30 778,63";"France";"FR";"02/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"6,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"train-false-a600971fdd23ea1f5685d7ee01d5f5c3";"train";"#EF6C00";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':200000000,'shareInHomeCurrency':6500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"20 000";"0,65";"Restaurants";"30 778,63";"France";"FR";"01/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,65";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':20000000,'shareInHomeCurrency':650,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"20 000";"0,65";"Restaurants";"30 778,63";"France";"FR";"01/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,65";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':20000000,'shareInHomeCurrency':650,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"13 000";"0,42";"Courses";"30 778,63";"France";"FR";"01/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,42";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"shopping_cart-false-7c3765bf72361083d820071fb21308a9";"shopping_cart";"#039BE5";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':13000000,'shareInHomeCurrency':420,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"49 000";"1,59";"Boissons";"30 778,63";"France";"FR";"01/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"1,59";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"local_bar-false-0c96179df5834759b90ee5cb3834a365";"local_bar";"#673AB7";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':49000000,'shareInHomeCurrency':1590,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"25 000";"0,81";"Restaurants";"30 778,63";"France";"FR";"01/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,81";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':25000000,'shareInHomeCurrency':810,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"20 000";"0,65";"Restaurants";"30 778,63";"France";"FR";"01/03/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,65";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':20000000,'shareInHomeCurrency':650,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"25 000";"0,81";"Blanchisserie";"30 778,63";"France";"FR";"28/02/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,81";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"local_laundry_service-false-51f0cc41f89738b2c779ae8e61e45adf";"local_laundry_service";"#0097A7";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':25000000,'shareInHomeCurrency':810,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"20 000";"0,65";"Boissons";"30 778,63";"France";"FR";"28/02/2026";"EUR";"VND";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,65";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"local_bar-false-0c96179df5834759b90ee5cb3834a365";"local_bar";"#673AB7";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':20000000,'shareInHomeCurrency':650,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
