amount;amountInHomeCurrency;category;conversionRate;country;countryCode;datePaid;homeCurrency;localCurrency;notes;paidBy;paidFor;Utilisateur anonyme;paymentMethod;photo;place;latitude;longitude;type;numberOfDays;excludeFromAvg;addToBudget;categoryId;categoryIcon;categoryColor;paymentMethodId;paymentMethodIcon;paymentMethodColor;paidById;paidToId;splitObjects
"45,00";"45,00";"Achats";"1";"France";"FR";"30/12/2025";"EUR";"EUR";"Petites affaires manquantes";"Utilisateur anonyme";"Utilisateur anonyme";"45,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"local_mall-false-fed561a86e066be5a26232626c4867a2";"local_mall";"#0F9D58";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':45000,'shareInHomeCurrency':45000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"185,00";"185,00";"Autres dépenses";"1";"France";"FR";"28/11/2025";"EUR";"EUR";"Vaccins";"Utilisateur anonyme";"Utilisateur anonyme";"185,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"more-false-0db377921f4ce762c62526131097968f";"more";"#FFB300";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':185000,'shareInHomeCurrency':185000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"10,00";"10,00";"Frais & Charges";"1";"France";"FR";"16/10/2025";"EUR";"EUR";"Carte Fortuneo";"Utilisateur anonyme";"Utilisateur anonyme";"10,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"monetization_on-false-032772a5c2c6ac2f128ca6c7fb009e0c";"monetization_on";"#9C27B0";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':10000,'shareInHomeCurrency':10000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"8,00";"8,00";"Frais & Charges";"1";"France";"FR";"11/10/2025";"EUR";"EUR";"Carte Revolut";"Utilisateur anonyme";"Utilisateur anonyme";"8,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"monetization_on-false-032772a5c2c6ac2f128ca6c7fb009e0c";"monetization_on";"#9C27B0";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':8000,'shareInHomeCurrency':8000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"206,00";"206,00";"Autres dépenses";"1";"France";"FR";"11/10/2025";"EUR";"EUR";"Assurance";"Utilisateur anonyme";"Utilisateur anonyme";"206,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"more-false-0db377921f4ce762c62526131097968f";"more";"#FFB300";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':206000,'shareInHomeCurrency':206000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"7,50";"7,50";"Hébergements";"1";"France";"FR";"08/10/2025";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"7,50";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"hotel-false-3e1b660a6d0b1877c3dd4a16fbb5cb5c";"hotel";"#DB4437";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':7500,'shareInHomeCurrency':7500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"10,00";"10,00";"Achats";"1";"France";"FR";"02/10/2025";"EUR";"EUR";"Banane";"Utilisateur anonyme";"Utilisateur anonyme";"10,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"local_mall-false-fed561a86e066be5a26232626c4867a2";"local_mall";"#0F9D58";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':10000,'shareInHomeCurrency':10000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"43,00";"43,00";"Transport";"1";"France";"FR";"01/10/2025";"EUR";"EUR";"Train Paris";"Utilisateur anonyme";"Utilisateur anonyme";"43,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"train-false-a600971fdd23ea1f5685d7ee01d5f5c3";"train";"#EF6C00";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':43000,'shareInHomeCurrency':43000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"200,00";"200,00";"Achats";"1";"France";"FR";"11/09/2025";"EUR";"EUR";"Vêtements";"Utilisateur anonyme";"Utilisateur anonyme";"200,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"local_mall-false-fed561a86e066be5a26232626c4867a2";"local_mall";"#0F9D58";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':200000,'shareInHomeCurrency':200000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"478,00";"478,00";"Vols";"1";"France";"FR";"03/09/2025";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"478,00";"Carte de crédit";"";"";"";"";"Expense";"1";"false";"false";"flight-false-504541934e46dc88caac2c0788e10519";"flight";"#4285F4";"credit_card-73a61696f100b3858511e212a3feea6b";"credit_card";"#FFB300";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':478000,'shareInHomeCurrency':478000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
